"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 20 16:54:38 GMT 2024","Tue Aug 20 16:54:39 GMT 2024","927","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","shortSuccessLoginTest","shortSuccessLoginTest",""
"passed","Tue Aug 20 16:54:36 GMT 2024","Tue Aug 20 16:54:37 GMT 2024","489","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","incorrectEmailLoginTest","incorrectEmailLoginTest",""
